Cliente_Id;Sexo;Estrato;Grupo_valor;Rango_ingresos_acum;Nivel_estudio;Estado_civil;Departamento;Edad;Franquicia;canal;origen;Monto_transado;Reclamos;cnt_trx_201706;cnt_trx_201707;cnt_trx_201708;cnt_trx_201709;cnt_trx_201710;cnt_trx_201711;cnt_trx_201712;cnt_trx_201801;cnt_trx_201802;cnt_trx_201803;cnt_trx_201804;cnt_trx_201805;cnt_trx_201806;cnt_trx_201807;cnt_trx_201808;cnt_trx_201809;cnt_trx_201810;cnt_trx_201811;cnt_trx_201812;cnt_trx_201901;cnt_trx_201902;cnt_trx_201903;cnt_trx_201904;cnt_trx_201905;cnt_trx_201906;Total_trx
22465264;M;4;Alto;6000000;Especializacion;UNION LIBRE;CUNDINAMARCA;39;VISA;P;Internacional;2906908;3;1;8;4;7;24;10;29;20;0;5;2;13;6;0;0;0;16;34;6;0;21;17;24;16;32;295
46527889;F;4;Alto;5400000;Especializacion;CASADO;ANTIOQUIA;39;VISA;P;Internacional;2435033;3;6;9;4;3;1;0;25;14;8;15;20;10;3;2;1;4;2;2;1;0;0;0;0;0;0;130
36341751;M;6;Alto;5400000;Especializacion;SOLTERO;ANTIOQUIA;39;VISA;P;Internacional;5286128;3;1;2;1;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;9
35559496;M;6;Alto;5400000;Especializacion;CASADO;ANTIOQUIA;39;VISA;P;Internacional;181255;3;11;6;5;9;5;1;2;8;3;0;0;0;0;0;0;0;0;4;6;5;3;4;16;6;8;102
23715677;F;4;Alto;5400000;Especializacion;SOLTERO;VALLE DEL CAUCA;39;MASTER;P;Nacional;3310151;3;11;9;23;28;19;10;8;3;15;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139
1283998;F;6;Alto;5400000;Especializacion;SOLTERO;BOGOTA D.C.;39;VISA;P;Nacional;6876917;2;7;13;3;7;3;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40
6892249;F;5;Alto;5250000;Especializacion;SOLTERO;BOGOTA D.C.;39;VISA;I;Nacional;10836258;2;17;4;6;3;6;12;4;6;6;8;6;15;14;12;16;15;20;35;11;18;4;7;40;23;0;308
23490448;M;4;Alto;5100000;Especializacion;SOLTERO;ANTIOQUIA;39;VISA;P;Internacional;3093486;3;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
27671202;M;6;Alto;5100000;Especializacion;SOLTERO;ANTIOQUIA;39;VISA;P;Nacional;11478261;3;3;6;1;7;5;2;7;25;1;1;5;1;7;11;18;9;5;14;8;12;18;14;10;7;7;204
11909868;F;5;Alto;5100000;Pregrado;CASADO;BOGOTA D.C.;39;VISA;P;Nacional;16238163;2;2;1;2;0;3;0;8;1;0;1;1;0;0;4;1;0;3;2;2;1;0;5;2;0;3;42
16745591;F;5;Alto;4500000;Maestria;CASADO;BOGOTA D.C.;39;AMEX;I;Nacional;1527548;2;3;3;7;4;2;2;1;3;2;15;1;3;2;9;0;0;0;0;0;0;0;0;0;0;0;57
27267585;M;6;Alto;4500000;Maestria;CASADO;BOGOTA D.C.;39;AMEX;I;Nacional;2240616;2;1;3;2;2;6;3;5;1;2;0;0;0;1;1;3;4;7;5;15;1;0;2;0;2;1;67
15096924;M;6;Alto;4500000;Especializacion;CASADO;ANTIOQUIA;39;MASTER;P;Nacional;3370741;3;1;2;11;8;2;2;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35
6780257;M;4;Alto;4500000;Especializacion;CASADO;ANTIOQUIA;39;VISA;P;Internacional;17514498;3;5;7;4;0;0;0;4;0;3;1;7;3;7;2;3;3;4;0;1;0;0;0;2;1;1;58
37109854;M;4;Alto;4500000;Especializacion;CASADO;ANTIOQUIA;39;VISA;Ninguno;Ninguno;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24284041;M;5;Alto;4500000;Especializacion;SOLTERO;VALLE DEL CAUCA;39;MASTER;I;Nacional;1929471;3;2;5;4;1;2;1;1;1;1;1;1;1;1;1;7;1;0;0;0;0;0;0;0;0;0;31
40542224;M;4;Alto;4500000;Especializacion;SOLTERO;ANTIOQUIA;39;VISA;P;Internacional;2092976;3;2;14;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
